,Date,Time,Material,Version,Result
0,20190107,085136,000000000000100455,0001,Error
1,20190107,085234,000000000000100455,0001,Error
2,20190107,090143,000000000000100455,0001,Error
3,20190107,090408,000000000000100455,0001,Error
4,20190107,091434,000000000000100455,0001,Error
5,20190107,091523,000000000000100455,0001,Error
6,20190107,093441,000000000000100455,0001,Error
7,20190107,095020,000000000000100455,0001,Error
8,20190107,095108,000000000000100455,0001,Error
9,20190107,100654,000000000000100455,0001,Error
10,20190107,100953,000000000000100455,0001,Error
11,20190107,101041,000000000000100455,0001,Error
12,20190107,102709,000000000000100455,0001,Error
13,20190107,102831,000000000000100455,0001,Error
14,20190107,104655,000000000000100455,0001,Error
15,20190107,104743,000000000000100455,0001,Error
16,20190107,110222,000000000000100455,0001,Error
17,20190107,110311,000000000000100455,0001,Error
18,20190107,112607,000000000000100305,0001,OK
19,20190107,112656,000000000000100305,0001,Error
20,20190107,113126,000000000000100305,0001,Error
21,20190107,113320,000000000000100305,0001,Error
22,20190107,113409,000000000000100305,0001,Error
23,20190107,113521,000000000000100305,0001,OK
24,20190107,113756,000000000000100305,0001,Error
25,20190107,113845,000000000000100305,0001,OK
26,20190107,114256,000000000000100305,0001,Error
27,20190107,114345,000000000000100305,0001,OK
28,20190107,114607,000000000000100455,0001,Error
29,20190107,114858,000000000000100455,0001,Error
30,20190107,114947,000000000000100305,0001,Error
31,20190107,115055,000000000000100305,0001,Error
32,20190107,115143,000000000000100305,0001,OK
33,20190107,115236,000000000000100305,0001,Error
34,20190107,115856,000000000000100455,0001,Error
35,20190107,115944,000000000000100455,0001,Error
36,20190107,120432,000000000000100305,0001,Error
37,20190107,120521,000000000000100305,0001,Error
38,20190107,120742,000000000000100305,0001,Error
39,20190107,120831,000000000000100305,0001,Error
40,20190107,121038,000000000000100455,0001,Error
41,20190107,121126,000000000000100455,0001,Error
42,20190107,121215,000000000000100305,0001,Error
43,20190107,121437,000000000000100305,0001,Error
44,20190107,121526,000000000000100305,0001,Error
45,20190107,121617,000000000000100305,0001,Error
46,20190107,121705,000000000000100305,0001,Error
47,20190107,121754,000000000000100305,0001,Error
48,20190107,121948,000000000000100305,0001,Error
49,20190107,122037,000000000000100305,0001,OK
50,20190107,122237,000000000000100455,0001,Error
